timestamp,price,amount
1428892462,235.82,12010600
1428978862,224.21,31725200
1429070961,222.07,33262300
1429157662,225.97,25105000
1429244362,228.55,19849500
1429331063,223.36,20177000
1429418362,223.68,12370900
1429507163,223.6,15596300
1429593862,225.39,18944100
1429680863,234.6,27007900
1429767262,233.85,21211300
1429854263,231.79,20305500
1429944262,229.88,16349900
1430053163,218.73,21024300
1430139563,220.45,22748700
1430226262,224.95,39343400
1430313561,224.66,18620400
1430403860,234.17,28471700
1430490260,235.14,25726800
1430577559,234.81,15939300
1430664259,241.89,16861500
1430750659,241.94,16063800
1430838558,234.92,25902100
1430930960,234.97,17272400
1431017360,232.01,32649900
1431103760,245.91,32948700
1431190160,241.2,25349500
1431276559,240.51,15597600
1431363260,243.66,17472700
1431449961,242.09,21352400
1431536362,242.87,17839200
1431622760,236.42,28772200
1431709165,237.5,20008000
1431795560,237.38,12811900
1431881960,237.38,11257500
1431968360,236.76,12963900
1432055363,233.33,17644200
1432142059,234.65,15952000
1432228461,236.19,15400400
1432314861,236.85,19170400
1432401260,240.2,21821300
1432487660,241.61,12507600
1432575261,237.31,13777600
1432663161,237.48,15536800
1432750160,236.77,18473500
1432846460,237.41,13725800
1432932861,237.09,15242500
1433020161,232.6,14166700
1433106561,231.9,12519500
1433193860,222.6,25922900
1433284160,225.69,20742500
1433370561,226.09,17462200
1433456960,224.57,14461900
1433543361,225.23,18190200
1433633360,225.03,10568700
1433719760,223.47,13654600
1433806161,228.46,23342800
1433892559,229.28,28156800
1433978960,228.78,15904400
1434065360,229.67,14609500
1434151766,230.26,14004900
1434241761,232.48,12714400
1434328163,233.49,12266200
